Date,Close
2007-01-03,38.02
2007-01-04,37.84
2007-01-05,37.19
2007-01-08,36.95
2007-01-09,37.06
2007-01-10,37.17
2007-01-11,37.29
2007-01-12,37.06
2007-01-16,36.9
2007-01-17,36.71
2007-01-18,37.23
2007-01-19,36.47
2007-01-22,36.25
2007-01-23,35.95
2007-01-24,36.22
2007-01-25,36.03
2007-01-26,36.13
2007-01-29,36.3
2007-01-30,36.2
2007-01-31,36.26
2007-02-01,36.21
2007-02-02,36.45
2007-02-05,36.78
2007-02-06,37.08
2007-02-07,37.27
2007-02-08,37.38
2007-02-09,37.09
2007-02-12,37.07
2007-02-13,37.33
2007-02-14,37.35
2007-02-15,37.25
2007-02-16,37.41
2007-02-20,37.58
2007-02-21,37.25
2007-02-22,37.44
2007-02-23,37.05
2007-02-26,36.67
2007-02-27,35.51
2007-02-28,35.82
2007-03-01,35.64
2007-03-02,35.35
2007-03-05,34.68
2007-03-06,35.65
2007-03-07,35.13
2007-03-08,35.4
2007-03-09,35.6
2007-03-12,35.65
2007-03-13,34.39
2007-03-14,34.77
2007-03-15,34.63
2007-03-16,34.55
2007-03-19,34.99
2007-03-20,35.38
2007-03-21,36.31
2007-03-22,36.15
2007-03-23,36.13
2007-03-26,36.05
2007-03-27,35.74
2007-03-28,34.95
2007-03-29,35.58
2007-03-30,35.37
2007-04-02,34.75
2007-04-03,35.33
2007-04-04,35.3
2007-04-05,35.28
2007-04-09,34.74
2007-04-10,34.82
2007-04-11,34.37
2007-04-12,34.33
2007-04-13,34.68
2007-04-16,34.6
2007-04-17,34.23
2007-04-18,35.02
2007-04-19,34.93
2007-04-20,35.53
2007-04-23,35.29
2007-04-24,35.07
2007-04-25,35.49
2007-04-26,35.4
2007-04-27,35.33
2007-04-30,35.09
2007-05-01,35.09
2007-05-02,35.01
2007-05-03,35.83
2007-05-04,35.87
2007-05-07,36.08
2007-05-08,35.76
2007-05-09,36.2
2007-05-10,35.73
2007-05-11,36.18
2007-05-14,35.85
2007-05-15,35.95
2007-05-16,36.33
2007-05-17,36.25
2007-05-18,36.49
2007-05-21,36.28
2007-05-22,35.98
2007-05-23,35.66
2007-05-24,35.52
2007-05-25,35.89
2007-05-29,35.7
2007-05-30,35.65
2007-05-31,35.67
2007-06-01,35.91
2007-06-04,35.69
2007-06-05,35.29
2007-06-06,34.95
2007-06-07,34.4
2007-06-08,34.5
2007-06-11,34.54
2007-06-12,33.98
2007-06-13,34.34
2007-06-14,34.18
2007-06-15,34.5
2007-06-18,34.39
2007-06-19,34.38
2007-06-20,34.14
2007-06-21,34.1
2007-06-22,33.52
2007-06-25,33.25
2007-06-26,33.34
2007-06-27,33.57
2007-06-28,33.55
2007-06-29,33.1
2007-07-02,33.89
2007-07-03,34.07
2007-07-05,33.88
2007-07-06,33.75
2007-07-09,33.6
2007-07-10,32.98
2007-07-11,33.02
2007-07-12,33.94
2007-07-13,34.05
2007-07-16,34.21
2007-07-17,33.57
2007-07-18,33.26
2007-07-19,33.08
2007-07-20,32.62
2007-07-23,32.47
2007-07-24,31.66
2007-07-25,31.96
2007-07-26,31.02
2007-07-27,30.28
2007-07-30,30.83
2007-07-31,30.07
2007-08-01,30.61
2007-08-02,30.56
2007-08-03,29.09
2007-08-06,30.64
2007-08-07,31.08
2007-08-08,31.69
2007-08-09,30.09
2007-08-10,30.69
2007-08-13,30.42
2007-08-14,29.51
2007-08-15,29.08
