Date,Close
2011-02-11,31.05
2011-02-14,30.7
2011-02-15,30.94
2011-02-16,30.72
2011-02-17,30.55
2011-02-18,31.37
2011-02-22,30.72
2011-02-23,30.42
2011-02-24,30.46
2011-02-25,30.5
2011-02-28,30.5
2011-03-01,30.45
2011-03-02,30.57
2011-03-03,30.77
2011-03-04,30.85
2011-03-07,30.9
2011-03-08,30.97
2011-03-09,30.75
2011-03-10,30.1
2011-03-11,30.1
2011-03-14,29.99
2011-03-15,29.88
2011-03-16,30.05
2011-03-17,30.15
2011-03-18,30.5
2011-03-21,30.82
2011-03-22,30.7
2011-03-23,30.02
2011-03-24,30.05
2011-03-25,29.52
2011-03-28,29.62
2011-03-29,29.79
2011-03-30,29.69
2011-03-31,29.64
2011-04-01,29.5
2011-04-04,29.44
2011-04-05,29.44
2011-04-06,29.46
2011-04-07,29.22
2011-04-08,29.33
2011-04-11,29.25
2011-04-12,28.73
2011-04-13,28.83
2011-04-14,29.12
2011-04-15,28.88
2011-04-18,28.52
2011-04-19,28.78
2011-04-20,29.45
2011-04-21,29.63
2011-04-25,29.36
2011-04-26,29.12
2011-04-27,28.86
2011-04-28,28.83
2011-04-29,28.58
2011-05-02,28.82
2011-05-03,28.19
2011-05-04,27.96
2011-05-05,27.98
2011-05-06,28.0
2011-05-09,28.29
2011-05-10,28.52
2011-05-11,28.31
2011-05-12,28.45
2011-05-13,27.93
2011-05-16,27.54
2011-05-17,27.5
2011-05-18,27.56
2011-05-19,28.29
2011-05-20,28.5
2011-05-23,28.33
2011-05-24,29.06
2011-05-25,29.02
2011-05-26,28.69
2011-05-27,29.18
2011-05-31,29.29
2011-06-01,29.0
2011-06-02,29.38
2011-06-03,29.75
2011-06-06,29.52
2011-06-07,29.79
2011-06-08,29.73
2011-06-09,29.69
2011-06-10,29.53
2011-06-13,29.45
2011-06-14,29.5
2011-06-15,29.36
2011-06-16,29.21
2011-06-17,29.7
2011-06-20,29.61
2011-06-21,29.62
2011-06-22,29.62
2011-06-23,29.1
2011-06-24,28.6
2011-06-27,28.26
2011-06-28,28.3
2011-06-29,28.4
2011-06-30,28.73
2011-07-01,29.27
2011-07-05,29.26
2011-07-06,29.11
2011-07-07,28.98
2011-07-08,28.92
2011-07-11,28.36
2011-07-12,28.17
2011-07-13,28.19
2011-07-14,28.03
2011-07-15,28.59
2011-07-18,28.19
2011-07-19,28.35
2011-07-20,28.5
2011-07-21,28.51
2011-07-22,28.36
2011-07-25,27.5
2011-07-26,27.57
2011-07-27,28.18
2011-07-28,28.16
2011-07-29,28.23
2011-08-01,28.23
2011-08-02,27.85
2011-08-03,27.72
2011-08-04,26.47
2011-08-05,25.92
2011-08-08,23.66
2011-08-09,25.92
2011-08-10,26.05
2011-08-11,27.45
2011-08-12,26.77
2011-08-15,27.08
2011-08-16,26.5
2011-08-17,26.28
2011-08-18,24.82
2011-08-19,23.82
2011-08-22,23.76
2011-08-23,24.54
2011-08-24,24.45
2011-08-25,24.45
2011-08-26,24.78
2011-08-29,25.31
2011-08-30,25.37
2011-08-31,25.85
2011-09-01,25.72
2011-09-02,25.19
2011-09-06,25.37
2011-09-07,25.44
2011-09-08,25.4
2011-09-09,24.85
2011-09-12,24.96
2011-09-13,24.97
2011-09-14,25.25
2011-09-15,25.54
2011-09-16,25.5
2011-09-19,26.68
2011-09-20,26.7
2011-09-21,26.55
2011-09-22,25.69
2011-09-23,25.52
2011-09-26,26.34
2011-09-27,27.03
2011-09-28,26.62
2011-09-29,26.32
2011-09-30,25.89
2011-10-03,25.48
2011-10-04,26.05
2011-10-05,26.59
2011-10-06,26.7
2011-10-07,26.34
2011-10-10,26.87
2011-10-11,26.85
2011-10-12,26.9
2011-10-13,26.92
2011-10-14,26.89
2011-10-17,28.19
2011-10-18,28.06
2011-10-19,27.58
2011-10-20,28.23
2011-10-21,29.22
2011-10-24,29.98
2011-10-25,30.11
2011-10-26,29.66
2011-10-27,29.44
2011-10-28,29.1
2011-10-31,28.6
2011-11-01,27.82
2011-11-02,28.06
2011-11-03,28.17
2011-11-04,28.31
2011-11-07,27.96
2011-11-08,28.15
2011-11-09,27.03
2011-11-10,27.43
2011-11-11,27.57
2011-11-14,27.73
2011-11-15,27.96
2011-11-16,27.77
2011-11-17,28.32
2011-11-18,28.25
2011-11-21,28.59
2011-11-22,28.61
2011-11-23,28.02
2011-11-25,29.0
2011-11-28,28.8
2011-11-29,29.54
2011-11-30,29.5
2011-12-01,30.26
2011-12-02,31.0
2011-12-05,30.91
2011-12-06,30.86
2011-12-07,30.42
2011-12-08,29.55
2011-12-09,29.6
2011-12-12,29.49
2011-12-13,29.2
2011-12-14,29.09
2011-12-15,28.83
2011-12-16,29.84
2011-12-19,29.79
2011-12-20,30.14
2011-12-21,30.71
2011-12-22,30.95
2011-12-23,31.37
2011-12-27,31.74
2011-12-28,31.29
2011-12-29,31.56
2011-12-30,32.17
2012-01-03,32.49
2012-01-04,32.49
2012-01-05,32.65
2012-01-06,32.89
2012-01-09,32.81
2012-01-10,33.18
2012-01-11,33.39
2012-01-12,33.08
2012-01-13,32.86
2012-01-17,33.07
2012-01-18,32.83
2012-01-19,33.03
2012-01-20,32.77
2012-01-23,32.81
2012-01-24,32.68
2012-01-25,33.23
2012-01-26,32.84
2012-01-27,32.38
2012-01-30,32.24
2012-01-31,32.47
2012-02-01,32.33
2012-02-02,32.18
2012-02-03,31.92
2012-02-06,32.26
2012-02-07,31.84
2012-02-08,32.07
2012-02-09,32.64
2012-02-10,32.35
2012-02-13,32.57
2012-02-14,32.31
2012-02-15,32.15
2012-02-16,32.33
2012-02-17,32.23
2012-02-21,32.07
2012-02-22,32.23
2012-02-23,32.32
2012-02-24,33.24
2012-02-27,34.76
2012-02-28,35.26
2012-02-29,35.24
2012-03-01,35.92
2012-03-02,36.29
2012-03-05,36.23
2012-03-06,35.35
2012-03-07,36.3
2012-03-08,36.73
2012-03-09,37.52
2012-03-12,36.74
2012-03-13,36.61
2012-03-14,36.05
2012-03-15,36.25
2012-03-16,36.85
2012-03-19,37.14
2012-03-20,36.75
2012-03-21,37.07
2012-03-22,37.38
2012-03-23,38.6
2012-03-26,38.37
2012-03-27,38.44
2012-03-28,39.25
2012-03-29,39.01
2012-03-30,38.65
2012-04-02,39.1
2012-04-03,39.73
2012-04-04,39.22
2012-04-05,39.85
2012-04-09,39.38
2012-04-10,38.1
2012-04-11,38.23
2012-04-12,38.52
2012-04-13,38.41
2012-04-16,37.7
2012-04-17,37.24
2012-04-18,37.25
2012-04-19,36.73
2012-04-20,36.16
2012-04-23,35.11
2012-04-24,35.09
2012-04-25,35.92
2012-04-26,35.68
2012-04-27,35.84
2012-04-30,35.9
2012-05-01,36.42
2012-05-02,36.37
2012-05-03,35.75
2012-05-04,35.25
2012-05-07,35.15
2012-05-08,34.97
2012-05-09,34.08
2012-05-10,34.3
2012-05-11,33.99
2012-05-14,33.55
2012-05-15,33.3
2012-05-16,33.25
2012-05-17,33.0
2012-05-18,32.5
2012-05-21,33.36
2012-05-22,33.8
2012-05-23,33.16
2012-05-24,32.11
2012-05-25,32.42
2012-05-29,33.5
2012-05-30,33.67
2012-05-31,34.19
2012-06-01,32.35
2012-06-04,33.0
2012-06-05,33.02
2012-06-06,31.9
2012-06-07,31.49
2012-06-08,31.53
2012-06-11,31.44
2012-06-12,31.35
2012-06-13,31.23
2012-06-14,31.47
2012-06-15,31.9
2012-06-18,31.85
2012-06-19,32.36
2012-06-20,32.34
2012-06-21,31.98
2012-06-22,31.68
2012-06-25,30.83
2012-06-26,30.76
2012-06-27,30.99
2012-06-28,31.22
2012-06-29,32.22
2012-07-02,32.74
2012-07-03,33.16
2012-07-05,33.26
2012-07-06,32.96
2012-07-09,32.74
2012-07-10,32.79
2012-07-11,33.05
2012-07-12,33.34
2012-07-13,34.54
2012-07-16,34.7
2012-07-17,35.04
2012-07-18,35.39
2012-07-19,35.25
2012-07-20,34.99
2012-07-23,34.86
2012-07-24,34.87
2012-07-25,35.26
2012-07-26,35.72
2012-07-27,35.81
2012-07-30,35.83
2012-07-31,35.81
2012-08-01,35.74
2012-08-02,35.4
2012-08-03,35.89
2012-08-06,36.17
2012-08-07,36.43
2012-08-08,36.14
2012-08-09,35.81
2012-08-10,34.64
2012-08-13,34.73
2012-08-14,34.77
2012-08-15,34.49
2012-08-16,34.47
2012-08-17,34.22
2012-08-20,34.86
2012-08-21,34.97
2012-08-22,34.97
2012-08-23,34.85
2012-08-24,35.29
2012-08-27,35.28
2012-08-28,35.23
2012-08-29,35.44
2012-08-30,35.44
2012-08-31,35.77
2012-09-04,35.68
2012-09-05,35.5
2012-09-06,35.74
2012-09-07,35.84
2012-09-10,35.76
2012-09-11,35.75
2012-09-12,35.67
2012-09-13,35.97
2012-09-14,36.23
2012-09-17,36.24
2012-09-18,36.05
2012-09-19,35.95
2012-09-20,35.66
2012-09-21,35.7
2012-09-24,35.8
2012-09-25,35.53
2012-09-26,35.15
2012-09-27,35.66
2012-09-28,35.52
2012-10-01,35.45
2012-10-02,35.5
2012-10-03,36.04
2012-10-04,36.25
2012-10-05,36.04
2012-10-08,35.56
2012-10-09,35.08
2012-10-10,35.16
2012-10-11,35.09
2012-10-12,34.5
2012-10-15,34.89
2012-10-16,35.52
2012-10-17,35.77
2012-10-18,35.87
2012-10-19,34.97
2012-10-22,34.75
2012-10-23,34.38
2012-10-24,34.56
2012-10-25,35.06
2012-10-26,34.7
2012-10-31,34.71
2012-11-01,34.58
2012-11-02,34.11
2012-11-05,33.89
2012-11-06,34.16
2012-11-07,33.34
2012-11-08,32.94
2012-11-09,32.58
2012-11-12,32.53
2012-11-13,32.24
2012-11-14,32.12
2012-11-15,32.03
2012-11-16,32.3
2012-11-19,33.48
2012-11-20,33.46
2012-11-21,33.46
2012-11-23,33.72
2012-11-26,33.68
2012-11-27,33.76
2012-11-28,34.12
2012-11-29,34.22
2012-11-30,33.81
2012-12-03,33.9
2012-12-04,33.92
2012-12-05,33.83
2012-12-06,33.63
2012-12-07,33.58
2012-12-10,33.65
2012-12-11,33.63
2012-12-12,33.72
2012-12-13,33.8
2012-12-14,33.72
2012-12-17,34.46
2012-12-18,35.29
2012-12-19,35.24
2012-12-20,35.47
2012-12-21,35.34
2012-12-24,35.03
2012-12-26,34.75
2012-12-27,34.77
2012-12-28,34.62
2012-12-31,35.33
2013-01-02,36.53
2013-01-03,36.98
2013-01-04,36.71
2013-01-07,37.32
2013-01-08,37.34
2013-01-09,37.12
2013-01-10,37.1
2013-01-11,37.06
2013-01-14,36.94
2013-01-15,36.84
2013-01-16,36.6
2013-01-17,37.24
2013-01-18,37.41
2013-01-22,37.79
2013-01-23,37.58
2013-01-24,37.23
2013-01-25,37.25
2013-01-28,37.53
2013-01-29,37.3
2013-01-30,37.73
2013-01-31,37.46
2013-02-01,37.49
2013-02-04,36.58
2013-02-05,37.38
2013-02-06,37.27
2013-02-07,37.77
2013-02-08,37.6
2013-02-11,37.65
2013-02-12,37.74
2013-02-13,37.8
2013-02-14,37.57
2013-02-15,37.52
2013-02-19,37.42
2013-02-20,37.13
2013-02-21,36.73
2013-02-22,37.0
2013-02-25,36.11
2013-02-26,36.21
2013-02-27,37.06
2013-02-28,37.07
2013-03-01,37.26
2013-03-04,37.54
2013-03-05,37.46
2013-03-06,36.97
2013-03-07,37.26
2013-03-08,37.37
2013-03-11,37.32
2013-03-12,37.27
2013-03-13,36.93
2013-03-14,36.95
2013-03-15,36.4
2013-03-18,36.24
2013-03-19,36.55
2013-03-20,36.97
2013-03-21,37.2
2013-03-22,37.62
2013-03-25,37.6
2013-03-26,37.99
2013-03-27,38.37
2013-03-28,38.68
2013-04-01,39.11
2013-04-02,38.84
2013-04-03,37.84
2013-04-04,37.86
2013-04-05,37.52
2013-04-08,38.12
2013-04-09,38.64
2013-04-10,38.94
2013-04-11,38.77
2013-04-12,38.78
2013-04-15,37.95
2013-04-16,38.37
2013-04-17,37.8
2013-04-18,37.92
2013-04-19,38.87
2013-04-22,39.0
2013-04-23,39.53
2013-04-24,39.98
2013-04-25,39.11
2013-04-26,38.78
2013-04-29,38.9
2013-04-30,39.1
2013-05-01,38.53
2013-05-02,38.72
2013-05-03,38.85
2013-05-06,39.07
2013-05-07,39.26
2013-05-08,39.42
2013-05-09,39.46
2013-05-10,39.45
2013-05-13,39.49
2013-05-14,39.98
2013-05-15,40.2
2013-05-16,39.92
2013-05-17,40.48
2013-05-20,41.05
2013-05-21,41.09
