Date,Close
2007-05-03,20.72
2007-05-04,20.98
2007-05-07,20.36
2007-05-08,19.63
2007-05-09,19.79
2007-05-10,19.7
2007-05-11,19.3
2007-05-14,18.89
2007-05-15,18.2
2007-05-16,18.34
2007-05-17,19.02
2007-05-18,19.31
2007-05-21,19.0
2007-05-22,19.48
2007-05-23,19.21
2007-05-24,19.02
2007-05-25,18.76
2007-05-29,19.09
2007-05-30,18.98
2007-05-31,19.05
2007-06-01,19.55
2007-06-04,18.84
2007-06-05,18.95
2007-06-06,18.93
2007-06-07,18.48
2007-06-08,18.83
2007-06-11,18.38
2007-06-12,18.4
2007-06-13,18.64
2007-06-14,18.9
2007-06-15,18.88
2007-06-18,18.54
2007-06-19,18.87
2007-06-20,19.36
2007-06-21,19.51
2007-06-22,19.75
2007-06-25,19.43
2007-06-26,19.49
2007-06-27,19.42
2007-06-28,19.67
2007-06-29,19.7
2007-07-02,19.58
2007-07-03,20.25
2007-07-05,20.52
2007-07-06,20.83
2007-07-09,21.33
2007-07-10,20.65
2007-07-11,20.12
2007-07-12,20.43
2007-07-13,20.5
2007-07-16,20.94
2007-07-17,21.19
2007-07-18,21.37
2007-07-19,21.51
2007-07-20,21.4
2007-07-23,21.11
2007-07-24,21.33
2007-07-25,20.78
2007-07-26,19.36
2007-07-27,18.59
2007-07-30,18.05
2007-07-31,17.82
2007-08-01,18.35
2007-08-02,18.88
2007-08-03,18.7
2007-08-06,18.02
2007-08-07,18.45
2007-08-08,18.49
2007-08-09,17.87
2007-08-10,17.56
2007-08-13,17.29
2007-08-14,16.97
2007-08-15,15.75
2007-08-16,15.92
2007-08-17,16.0
2007-08-20,16.08
2007-08-21,17.71
2007-08-22,18.1
2007-08-23,18.0
2007-08-24,18.24
2007-08-27,17.7
2007-08-28,17.35
2007-08-29,17.36
2007-08-30,16.98
2007-08-31,16.88
2007-09-04,17.53
2007-09-05,17.62
2007-09-06,18.07
2007-09-07,17.62
2007-09-10,17.44
2007-09-11,17.69
2007-09-12,17.15
2007-09-13,17.59
2007-09-14,17.65
2007-09-17,17.15
2007-09-18,17.45
2007-09-19,18.29
2007-09-20,17.72
2007-09-21,17.56
2007-09-24,16.03
2007-09-25,17.08
2007-09-26,17.87
2007-09-27,17.82
2007-09-28,17.95
2007-10-01,18.22
2007-10-02,18.98
2007-10-03,19.28
2007-10-04,18.61
2007-10-05,19.19
2007-10-08,19.48
2007-10-09,19.59
2007-10-10,19.63
2007-10-11,19.39
2007-10-12,19.96
2007-10-15,20.0
2007-10-16,20.08
2007-10-17,20.4
2007-10-18,19.96
2007-10-19,19.5
2007-10-22,20.0
2007-10-23,20.82
2007-10-24,20.58
2007-10-25,20.06
2007-10-26,19.74
2007-10-29,19.85
2007-10-30,20.68
2007-10-31,20.8
2007-11-01,20.2
2007-11-02,19.93
2007-11-05,19.51
2007-11-06,18.51
2007-11-07,17.45
2007-11-08,17.0
2007-11-09,16.5
2007-11-12,17.88
2007-11-13,18.75
2007-11-14,19.52
2007-11-15,19.84
2007-11-16,19.97
2007-11-19,19.01
2007-11-20,17.45
2007-11-21,17.91
2007-11-23,18.15
2007-11-26,17.48
2007-11-27,17.56
2007-11-28,18.77
2007-11-29,18.63
2007-11-30,19.76
2007-12-03,19.58
2007-12-04,18.61
2007-12-05,18.3
2007-12-06,18.38
2007-12-07,18.7
2007-12-10,18.24
2007-12-11,17.03
2007-12-12,15.74
2007-12-13,15.35
2007-12-14,15.6
2007-12-17,14.53
2007-12-18,14.17
2007-12-19,14.74
2007-12-20,14.38
2007-12-21,15.08
2007-12-24,15.11
2007-12-26,14.78
2007-12-27,14.42
2007-12-28,14.6
2007-12-31,14.89
2008-01-02,13.79
2008-01-03,13.65
2008-01-04,13.37
2008-01-07,13.39
2008-01-08,11.77
