Date,Close
2007-01-03,40.25
2007-01-04,39.53
2007-01-05,38.92
2007-01-08,38.76
2007-01-09,38.62
2007-01-10,39.42
2007-01-11,39.97
2007-01-12,40.42
2007-01-16,40.27
2007-01-17,40.71
2007-01-18,40.09
2007-01-19,40.7
2007-01-22,40.23
2007-01-23,43.92
2007-01-24,44.32
2007-01-25,43.88
2007-01-26,44.12
2007-01-29,45.12
2007-01-30,45.03
2007-01-31,45.28
2007-02-01,46.62
2007-02-02,46.7
2007-02-05,46.5
2007-02-06,46.92
2007-02-07,45.94
2007-02-08,46.01
2007-02-09,45.15
2007-02-12,45.32
2007-02-13,45.85
2007-02-14,46.24
2007-02-15,46.49
2007-02-16,46.38
2007-02-20,46.74
2007-02-21,47.09
2007-02-22,46.86
2007-02-23,46.56
2007-02-26,46.35
2007-02-27,45.12
2007-02-28,45.15
2007-03-01,45.9
2007-03-02,44.4
2007-03-05,43.76
2007-03-06,43.99
2007-03-07,44.74
2007-03-08,45.42
2007-03-09,45.42
2007-03-12,45.28
2007-03-13,44.06
2007-03-14,44.11
2007-03-15,44.67
2007-03-16,44.32
2007-03-19,44.94
2007-03-20,45.4
2007-03-21,46.57
2007-03-22,47.28
2007-03-23,47.35
2007-03-26,47.11
2007-03-27,46.93
2007-03-28,46.67
2007-03-29,46.72
2007-03-30,46.65
2007-04-02,46.71
2007-04-03,47.51
2007-04-04,47.67
2007-04-05,47.66
2007-04-09,48.28
2007-04-10,49.09
2007-04-11,49.23
2007-04-12,49.6
2007-04-13,49.46
2007-04-16,49.87
2007-04-17,50.07
2007-04-18,50.3
2007-04-19,50.24
2007-04-20,50.44
2007-04-23,51.2
2007-04-24,50.93
2007-04-25,52.06
2007-04-26,52.13
2007-04-27,51.49
2007-04-30,50.43
2007-05-01,50.43
2007-05-02,51.68
2007-05-03,52.26
2007-05-04,52.37
2007-05-07,53.38
2007-05-08,53.49
2007-05-09,54.75
2007-05-10,53.99
2007-05-11,53.75
2007-05-14,53.44
2007-05-15,53.36
2007-05-16,54.0
2007-05-17,54.73
2007-05-18,55.1
2007-05-21,55.22
2007-05-22,55.76
2007-05-23,56.29
2007-05-24,54.69
2007-05-25,55.12
2007-05-29,56.28
2007-05-30,57.58
2007-05-31,57.95
2007-06-01,58.96
2007-06-04,59.47
2007-06-05,59.14
2007-06-06,57.98
2007-06-07,54.63
2007-06-08,55.95
2007-06-11,56.53
2007-06-12,55.42
2007-06-13,56.81
2007-06-14,58.94
2007-06-15,59.52
2007-06-18,58.92
2007-06-19,58.31
2007-06-20,57.51
2007-06-21,57.74
2007-06-22,56.71
2007-06-25,57.3
2007-06-26,56.5
2007-06-27,57.41
2007-06-28,56.95
2007-06-29,57.51
2007-07-02,58.57
2007-07-03,59.4
2007-07-05,59.19
2007-07-06,59.59
2007-07-09,61.13
2007-07-10,60.89
2007-07-11,62.01
2007-07-12,63.81
2007-07-13,64.58
2007-07-16,63.91
2007-07-17,65.55
2007-07-18,66.08
2007-07-19,65.96
2007-07-20,65.85
2007-07-23,65.69
2007-07-24,64.98
2007-07-25,62.55
2007-07-26,60.85
2007-07-27,59.56
2007-07-30,61.72
2007-07-31,61.63
2007-08-01,61.13
2007-08-02,63.02
2007-08-03,60.97
2007-08-06,61.69
2007-08-07,64.1
2007-08-08,65.91
2007-08-09,68.83
2007-08-10,68.24
2007-08-13,68.03
2007-08-14,65.84
2007-08-15,61.97
2007-08-16,60.26
2007-08-17,60.21
2007-08-20,60.89
2007-08-21,61.93
2007-08-22,64.18
2007-08-23,63.17
2007-08-24,64.8
2007-08-27,64.55
2007-08-28,62.31
2007-08-29,64.48
2007-08-30,65.22
2007-08-31,66.09
2007-09-04,68.02
2007-09-05,67.53
2007-09-06,68.46
2007-09-07,66.06
2007-09-10,65.53
2007-09-11,67.72
2007-09-12,69.37
2007-09-13,70.82
2007-09-14,71.0
2007-09-17,69.87
2007-09-18,74.61
2007-09-19,76.04
2007-09-20,75.5
2007-09-21,77.16
2007-09-24,77.1
2007-09-25,75.0
2007-09-26,76.34
2007-09-27,76.78
2007-09-28,75.58
2007-10-01,79.05
2007-10-02,80.28
2007-10-03,78.64
2007-10-04,78.95
2007-10-05,82.58
2007-10-08,82.38
2007-10-09,84.58
2007-10-10,85.06
2007-10-11,83.36
2007-10-12,85.21
2007-10-15,85.88
2007-10-16,84.54
2007-10-17,84.89
2007-10-18,87.15
2007-10-19,82.0
2007-10-22,79.55
2007-10-23,81.69
2007-10-24,83.38
2007-10-25,83.61
2007-10-26,86.17
2007-10-29,88.06
2007-10-30,86.74
2007-10-31,87.15
2007-11-01,84.43
2007-11-02,83.8
2007-11-05,83.98
2007-11-06,88.35
2007-11-07,85.82
2007-11-08,87.2
2007-11-09,83.32
2007-11-12,77.18
2007-11-13,81.31
2007-11-14,82.06
2007-11-15,78.32
2007-11-16,77.9
2007-11-19,76.23
2007-11-20,77.83
2007-11-21,75.45
2007-11-23,77.61
2007-11-26,76.59
2007-11-27,76.89
2007-11-28,81.6
2007-11-29,81.58
2007-11-30,83.77
2007-12-03,86.81
2007-12-04,86.44
2007-12-05,90.36
2007-12-06,94.11
2007-12-07,94.08
2007-12-10,95.75
2007-12-11,91.61
2007-12-12,94.98
2007-12-13,96.83
2007-12-14,95.31
2007-12-17,90.14
2007-12-18,91.87
2007-12-19,94.71
2007-12-20,95.45
2007-12-21,96.33
2007-12-24,97.41
2007-12-26,97.75
2007-12-27,98.7
2007-12-28,98.08
2007-12-31,95.61
2008-01-02,96.62
2008-01-03,101.58
2008-01-04,96.61
2008-01-07,91.28
2008-01-08,87.9
2008-01-09,86.31
2008-01-10,90.53
2008-01-11,88.71
2008-01-14,89.44
2008-01-15,82.13
2008-01-16,76.74
2008-01-17,72.18
2008-01-18,74.21
2008-01-22,78.11
2008-01-23,76.99
2008-01-24,79.8
2008-01-25,77.18
2008-01-28,76.59
2008-01-29,76.45
2008-01-30,73.93
2008-01-31,76.35
2008-02-01,80.22
2008-02-04,78.02
2008-02-05,73.75
2008-02-06,72.82
2008-02-07,71.83
2008-02-08,72.84
2008-02-11,74.95
2008-02-12,75.7
2008-02-13,78.53
2008-02-14,76.79
2008-02-15,75.82
2008-02-19,77.31
2008-02-20,77.84
2008-02-21,79.28
2008-02-22,81.07
2008-02-25,84.78
2008-02-26,83.21
2008-02-27,83.04
2008-02-28,83.7
2008-02-29,80.29
2008-03-03,81.3
2008-03-04,80.15
2008-03-05,79.81
2008-03-06,78.47
2008-03-07,76.02
2008-03-10,70.75
2008-03-11,75.46
2008-03-12,74.76
2008-03-13,75.32
2008-03-14,73.04
2008-03-17,69.89
2008-03-18,73.49
2008-03-19,70.47
2008-03-20,71.65
2008-03-24,74.33
2008-03-25,76.15
2008-03-26,75.47
2008-03-27,73.94
2008-03-28,74.09
2008-03-31,73.59
2008-04-01,76.56
2008-04-02,77.82
2008-04-03,79.13
2008-04-04,80.74
2008-04-07,79.66
2008-04-08,79.94
2008-04-09,78.35
2008-04-10,79.39
2008-04-11,77.23
2008-04-14,76.79
2008-04-15,76.77
2008-04-16,80.62
2008-04-17,80.72
2008-04-18,85.11
2008-04-21,89.02
2008-04-22,87.72
2008-04-23,86.79
2008-04-24,87.19
