Date,Close
2014-07-31,23.0
2014-08-01,23.0
2014-08-04,23.0
2014-08-05,23.0
2014-08-06,22.98
2014-08-07,22.93
2014-08-08,22.95
2014-08-11,22.93
2014-08-12,23.0
2014-08-13,23.18
2014-08-14,23.01
2014-08-15,23.0
2014-08-18,23.17
2014-08-19,24.41
2014-08-20,25.19
2014-08-21,25.39
2014-08-22,25.36
2014-08-25,25.12
2014-08-26,25.05
2014-08-27,25.47
2014-08-28,25.69
2014-08-29,25.79
2014-09-02,25.79
2014-09-03,25.79
2014-09-04,25.7
2014-09-05,25.77
2014-09-08,24.84
2014-09-09,25.04
2014-09-10,24.7
2014-09-11,24.65
2014-09-12,24.5
2014-09-15,24.15
2014-09-16,24.31
2014-09-17,24.55
2014-09-18,24.67
2014-09-19,25.41
2014-09-22,24.84
2014-09-23,24.58
2014-09-24,24.92
2014-09-25,24.63
2014-09-26,24.77
2014-09-29,24.7
2014-09-30,24.55
2014-10-01,24.22
2014-10-02,24.58
2014-10-03,24.83
2014-10-06,25.0
2014-10-07,24.85
2014-10-08,25.02
2014-10-09,24.55
2014-10-10,24.2
2014-10-13,24.46
2014-10-14,24.85
2014-10-15,24.52
2014-10-16,24.6
2014-10-17,24.78
2014-10-20,24.71
2014-10-21,25.17
2014-10-22,25.38
2014-10-23,25.81
2014-10-24,26.11
2014-10-27,26.53
2014-10-28,26.85
2014-10-29,27.0
2014-10-30,26.79
2014-10-31,27.02
2014-11-03,27.34
2014-11-04,27.01
2014-11-05,27.47
2014-11-06,27.58
2014-11-07,28.15
2014-11-10,28.77
2014-11-11,29.11
2014-11-12,29.03
2014-11-13,28.99
2014-11-14,29.05
2014-11-17,29.13
2014-11-18,28.95
2014-11-19,28.94
2014-11-20,29.24
2014-11-21,29.17
2014-11-24,28.97
2014-11-25,28.66
2014-11-26,28.8
2014-11-28,29.01
2014-12-01,28.88
2014-12-02,29.05
2014-12-03,29.0
2014-12-04,29.15
2014-12-05,29.25
2014-12-08,29.51
2014-12-09,29.52
2014-12-10,29.65
2014-12-11,29.52
2014-12-12,29.0
2014-12-15,28.63
2014-12-16,28.44
2014-12-17,28.9
2014-12-18,29.75
2014-12-19,30.0
2014-12-22,29.85
2014-12-23,30.0
2014-12-24,30.11
2014-12-26,30.5
2014-12-29,30.46
2014-12-30,30.0
2014-12-31,29.75
2015-01-02,29.48
2015-01-05,29.25
2015-01-06,28.85
2015-01-07,29.2
2015-01-08,29.98
2015-01-09,29.7
2015-01-12,29.53
2015-01-13,29.71
2015-01-14,29.15
2015-01-15,28.52
2015-01-16,28.99
2015-01-20,29.1
2015-01-21,29.18
2015-01-22,29.05
2015-01-23,30.97
2015-01-26,31.33
2015-01-27,31.32
2015-01-28,31.25
2015-01-29,31.23
2015-01-30,30.86
2015-02-02,31.16
2015-02-03,31.13
2015-02-04,31.25
2015-02-05,32.0
2015-02-06,32.14
2015-02-09,32.4
2015-02-10,33.11
2015-02-11,33.55
2015-02-12,33.61
2015-02-13,32.8
2015-02-17,31.92
2015-02-18,31.91
2015-02-19,31.88
2015-02-20,32.59
2015-02-23,32.62
2015-02-24,32.36
2015-02-25,32.29
2015-02-26,32.45
2015-02-27,31.95
2015-03-02,31.96
2015-03-03,32.14
2015-03-04,31.89
2015-03-05,31.96
2015-03-06,31.2
2015-03-09,31.98
2015-03-10,31.1
2015-03-11,31.55
2015-03-12,31.89
2015-03-13,31.82
2015-03-16,31.95
2015-03-17,32.23
2015-03-18,31.92
2015-03-19,32.37
2015-03-20,32.25
2015-03-23,31.78
2015-03-24,31.65
2015-03-25,30.92
2015-03-26,30.61
2015-03-27,30.06
2015-03-30,30.29
2015-03-31,30.35
2015-04-01,30.41
2015-04-02,30.61
2015-04-06,29.84
2015-04-07,29.76
2015-04-08,29.97
2015-04-09,30.14
2015-04-10,30.59
2015-04-13,30.64
2015-04-14,30.52
2015-04-15,30.68
2015-04-16,30.77
2015-04-17,30.52
2015-04-20,30.9
2015-04-21,31.2
2015-04-22,31.04
2015-04-23,30.96
2015-04-24,30.82
2015-04-27,30.62
2015-04-28,30.66
2015-04-29,30.74
2015-04-30,31.15
2015-05-01,31.52
2015-05-04,31.71
2015-05-05,31.94
2015-05-06,32.09
2015-05-07,32.65
2015-05-08,33.2
2015-05-11,32.89
2015-05-12,33.12
2015-05-13,32.9
2015-05-14,32.77
2015-05-15,31.81
2015-05-18,31.84
2015-05-19,32.06
2015-05-20,32.65
2015-05-21,32.47
2015-05-22,32.5
2015-05-26,32.12
2015-05-27,32.46
2015-05-28,32.53
2015-05-29,32.29
2015-06-01,32.41
2015-06-02,32.65
2015-06-03,33.18
2015-06-04,32.75
2015-06-05,32.8
2015-06-08,32.65
2015-06-09,32.86
2015-06-10,33.3
2015-06-11,33.22
2015-06-12,33.12
2015-06-15,32.97
2015-06-16,32.5
2015-06-17,32.75
2015-06-18,32.82
2015-06-19,32.92
2015-06-22,32.91
2015-06-23,32.99
2015-06-24,32.76
2015-06-25,32.81
2015-06-26,32.7
2015-06-29,32.23
2015-06-30,32.93
2015-07-01,33.32
2015-07-02,33.14
2015-07-06,32.5
2015-07-07,32.5
2015-07-08,32.01
2015-07-09,32.6
2015-07-10,33.07
2015-07-13,33.35
2015-07-14,33.77
2015-07-15,34.14
2015-07-16,34.13
2015-07-17,35.08
2015-07-20,35.99
2015-07-21,35.61
2015-07-22,35.68
2015-07-23,35.63
2015-07-24,34.68
2015-07-27,34.62
2015-07-28,34.23
2015-07-29,34.48
2015-07-30,34.6
2015-07-31,34.36
2015-08-03,34.36
2015-08-04,34.41
2015-08-05,34.56
2015-08-06,34.13
2015-08-07,33.98
2015-08-10,34.62
2015-08-11,34.67
2015-08-12,34.96
2015-08-13,35.16
2015-08-14,35.14
2015-08-17,35.32
2015-08-18,35.14
2015-08-19,34.96
2015-08-20,34.36
2015-08-21,33.72
2015-08-24,33.15
2015-08-25,32.99
2015-08-26,32.67
2015-08-27,32.33
2015-08-28,32.65
2015-08-31,32.95
2015-09-01,31.71
2015-09-02,31.79
2015-09-03,32.19
2015-09-04,31.6
2015-09-08,32.28
2015-09-09,32.13
2015-09-10,32.09
2015-09-11,31.33
2015-09-14,31.17
2015-09-15,31.12
2015-09-16,30.88
2015-09-17,30.77
2015-09-18,30.56
2015-09-21,30.87
2015-09-22,30.58
2015-09-23,31.06
2015-09-24,30.83
2015-09-25,31.03
2015-09-28,31.16
2015-09-29,31.04
2015-09-30,31.3
2015-10-01,31.38
2015-10-02,31.82
2015-10-05,33.31
2015-10-06,32.8
2015-10-07,32.13
2015-10-08,32.36
2015-10-09,32.39
2015-10-12,32.34
2015-10-13,31.82
2015-10-14,31.53
2015-10-15,31.32
2015-10-16,30.15
