Date,Close
2012-06-29,24.6
2012-07-02,24.77
2012-07-03,25.31
2012-07-05,25.96
2012-07-06,25.84
2012-07-09,25.27
2012-07-10,25.05
2012-07-11,23.74
2012-07-12,24.08
2012-07-13,24.18
2012-07-16,24.38
2012-07-17,24.27
2012-07-18,24.23
2012-07-19,24.0
2012-07-20,25.23
2012-07-23,24.35
2012-07-24,24.84
2012-07-25,24.93
2012-07-26,24.42
2012-07-27,25.33
2012-07-30,25.39
2012-07-31,27.0
2012-08-01,27.71
2012-08-02,29.08
2012-08-03,28.67
2012-08-06,28.02
2012-08-07,28.0
2012-08-08,27.57
2012-08-09,29.51
2012-08-10,31.65
2012-08-13,32.43
2012-08-14,32.28
2012-08-15,29.68
2012-08-16,29.75
2012-08-17,29.6
2012-08-20,29.89
2012-08-21,30.26
2012-08-22,29.85
2012-08-23,29.03
2012-08-24,29.7
2012-08-27,29.27
2012-08-28,29.32
2012-08-29,29.49
2012-08-30,29.78
2012-08-31,31.1
2012-09-04,33.67
2012-09-05,34.19
2012-09-06,36.06
2012-09-07,36.55
2012-09-10,34.39
2012-09-11,33.01
2012-09-12,35.05
2012-09-13,37.51
2012-09-14,39.06
2012-09-17,38.19
2012-09-18,36.8
2012-09-19,38.65
2012-09-20,38.0
2012-09-21,39.63
2012-09-24,40.37
2012-09-25,39.99
2012-09-26,38.08
2012-09-27,40.04
2012-09-28,38.68
2012-10-01,36.48
2012-10-02,36.5
2012-10-03,37.03
2012-10-04,37.15
2012-10-05,37.0
2012-10-08,36.53
2012-10-09,36.0
2012-10-10,34.78
2012-10-11,34.5
2012-10-12,33.32
2012-10-15,34.51
2012-10-16,34.31
2012-10-17,34.77
2012-10-18,34.79
2012-10-19,34.35
2012-10-22,33.44
2012-10-23,34.56
2012-10-24,35.65
2012-10-25,31.39
2012-10-26,31.89
2012-10-31,30.65
2012-11-01,31.04
2012-11-02,32.14
2012-11-05,32.28
2012-11-06,32.95
2012-11-07,31.25
2012-11-08,30.9
2012-11-09,30.07
2012-11-12,29.66
2012-11-13,29.48
2012-11-14,28.71
2012-11-15,31.79
